Name,From,Date,Price,Number,Unit,Servings per container,Calories per serving,Fat g,Carb g,Protein g
Brown Rice,Hugo's,4/11/2022, $2.09 ,2.0,lb,22.0,150,1.0,32.0,3
Black beans,Hugo's,4/11/2022, $2.19 ,1.0,lb,13.0,80,1.0,21.0,8
Milk,Sam's,4/17/2022, $4.06 ,1.0,gal,16.0,150,8.0,11.0,8
"Eggs, $3/doz",Hugo's,4/16/2022, $3.00 ,600.0,g,12.0,70,5.0,0.0,6
Egg Whites,Hugo's,4/16/2022, $3.00 ,396.0,g,12.0,16,0.0,0.0,4
Nonfat Greek Yogurt,Sam's,4/17/2022, $3.98 ,40.0,oz,7.0,100,0.0,6.0,18
Cottage Cheese,Sam's,4/17/2022, $6.62 ,48.0,oz,12.0,90,2.5,4.0,14
Pork Chops,Hugo's,4/15/2022,$4.06 ,1.4,lb,5.6,160,9.0,0.0,21
Peanut Butter,Sam's ,4/17/2022, $7.38 ,80.0,oz,70.0,180,15.0,8.0,7
Steak strips,Sam's ,4/17/2022, $11.97 ,12.0,oz,12.0,80,1.0,7.0,9
Rotisserie chicken,Sam's,4/6/2022, $4.98 ,1.0,unit,10.0,180,9.0,1.0,19
Ramen,Sam's,4/19/2022, $8.88 ,48.0,unit,48.0,380,14.0,53.0,9
Miso,Amazon,4/19/2022, $12.17 ,13.2,oz,1.36,546,17.0,73.0,32
Sliced turkey,Hugo's,4/22/2022, $3.00 ,9.0,oz,4.5,80,6.0,0.0,9
Super Potato Oles,Taco John's,4/30/2022, $5.50 ,1.0,dish,1.0,1120,68.0,104.0,26
Walnuts,Sam's,5/3/2022, $12.78 ,4.0,lb,48.0,190,18.0,4.0,4
refried beans,Hugo's,5/20/2022, $1.19 ,16.0,oz,3.5,100,0.5,18.0,6
Quinoa,Sam's club ,6/6/2022, $8.98 ,4.0,lb,40.0,170,2.5,29.0,6
boneless pork chops,,8/19/2022, $10.00 ,192.0,oz,,160,9.0,0.0,21
tuna,Hugo's,10/2/2022, $0.75 ,1.0,can,1.0,100,0.5,0.0,23
Spam,Walmart online,4/4/2023, $3.58 ,12.0,oz,6.0,160,14.0,1.0,7
Huel,ad Cal Newport,6/21/2023, $2.50 ,1.0,serving,1.0,400,,,40
Chickpeas,Target online,11/7/2023, $1.59 ,1.0,lb,13.0,100,1.0,23.0,8
Hummus,Sam's club,11/7/2023, $4.48 ,1.0,container,32.0,60,4.5,5.0,2
Dry Roasted Edamame,Amazon,8/10/2024, $17.59 ,1.0,big jar,26.0,130,5.0,9.0,14
